kanji,kana,roman,lat,lng,class
丁岳,ひのとだけ,Hinoto Dake,39.033,140.217,Mountain
日置市,ひおきし,Hioki Shi,31.633,130.400,Municipality
平島,ひらじま,Hira Jima,26.583,142.150,Island
平瀬,ひらせ,Hira Se,30.050,130.050,Island
平島,ひらしま,Hira Shima,33.000,129.250,Island
平戸市,ひらどし,Hirado Shi,33.367,129.550,Municipality
平戸島,ひらどしま,Hirado Shima,33.267,129.450,Island
平ヶ岳,ひらがたけ,Hiragatake,37.000,139.167,Mountain
平泉町,ひらいずみちょう,Hiraizumi Cho,38.983,141.117,Municipality
枚方市,ひらかたし,Hirakata Shi,34.817,135.650,Municipality
平川市,ひらかわし,Hirakawa Shi,40.583,140.567,Municipality
平久保崎,ひらくぼさき,Hirakubo Saki,24.617,124.317,Cape
平内町,ひらないまち,Hiranai Machi,40.933,140.950,Municipality
平根崎,ひらねざき,Hirane Zaki,33.717,132.133,Cape
平野,ひらの,Hirano,24.600,124.317,Populated area
平生町,ひらおちょう,Hirao Cho,33.933,132.067,Municipality
平田村,ひらたむら,Hirata Mura,37.217,140.583,Municipality
平塚市,ひらつかし,Hiratsuka Shi,35.333,139.350,Municipality
平谷村,ひらやむら,Hiraya Mura,35.317,137.633,Municipality
広川町,ひろがわちょう,Hirogawa Cho,34.033,135.167,Municipality
広川町,ひろかわまち,Hirokawa Machi,33.233,130.550,Municipality
洋野町,ひろのちょう,Hirono Cho,40.400,141.717,Municipality
広野町,ひろのまち,Hirono Machi,37.217,141.000,Municipality
広尾町,ひろおちょう,Hiroo Cho,42.283,143.317,Municipality
弘前市,ひろさきし,Hirosaki Shi,40.600,140.467,Municipality
広瀬川,ひろせがわ,Hirose Gawa,38.200,140.917,River
広島,ひろしま,Hiroshima,34.367,133.717,Island
広島県,ひろしまけん,Hiroshima Ken,34.400,132.467,Municipality
広島市,ひろしまし,Hiroshima Shi,34.383,132.450,Municipality
広島湾,ひろしまわん,Hiroshima Wan,34.333,132.417,Sea Area
広田湾,ひろたわん,Hirota Wan,38.983,141.650,Sea Area
広渡川,ひろとがわ,Hiroto Gawa,31.583,131.417,River
蒜山,ひるぜん,Hiru Zen,35.317,133.683,Mountain
蛭ヶ岳,ひるがたけ,Hirugatake,35.483,139.133,Mountain
久賀島,ひさかじま,Hisaka Jima,32.783,128.867,Island
久之浜,ひさのはま,Hisanohama,37.150,141.000,Populated area
久山町,ひさやままち,Hisayama Machi,33.650,130.500,Municipality
ひしゃく星海山,ひしゃくぼしかいざん,Hishakuboshi Kaizan,17.600,134.900,Undersea feature
菱田川,ひしだがわ,Hishida Gawa,31.450,131.050,River
日田市,ひたし,Hita Shi,33.317,130.933,Municipality
常陸海山,ひたちかいざん,Hitachi Kaizan,36.650,144.483,Undersea feature
日立市,ひたちし,Hitachi Shi,36.600,140.650,Municipality
ひたちなか市,ひたちなかし,Hitachinaka Shi,36.400,140.533,Municipality
常陸大宮市,ひたちおおみやし,Hitachiomiya Shi,36.550,140.417,Municipality
常陸太田市,ひたちおおたし,Hitachiota Shi,36.533,140.533,Municipality
人首,ひとかべ,Hitokabe,39.233,141.317,Populated area
単冠湾,ひとかっぷわん,Hitokappu Wan,44.967,147.683,Sea Area
一ッ瀬川,ひとつせがわ,Hitotsuse Gawa,32.050,131.500,River
人吉市,ひとよしし,Hitoyoshi Shi,32.217,130.733,Municipality
燧灘,ひうちなだ,Hiuchi Nada,34.083,133.317,Sea Area
火打山,ひうちやま,Hiuchi Yama,36.917,138.067,Mountain
燧ヶ岳,ひうちがたけ,Hiuchigatake,36.950,139.283,Mountain
日吉海盆,ひよしかいぼん,Hiyoshi Kaibon,23.633,142.483,Undersea feature
肥前海山,ひぜんかいざん,Hizen Kaizan,28.100,134.250,Undersea feature
肥前鳥島,ひぜんとりしま,Hizen-tori Shima,32.250,128.100,Island
宝達山,ほうだつさん,Hodatsu San,36.783,136.817,Mountain
宝達志水町,ほうだつしみずちょう,Hodatsushimizu Cho,36.867,136.800,Municipality
宝永海山,ほうえいかいざん,Hoei Kaizan,30.883,138.733,Undersea feature
防府市,ほうふし,Hofu Shi,34.050,131.567,Municipality
伯耆町,ほうきちょう,Hoki Cho,35.383,133.400,Municipality
箒川,ほうきがわ,Hoki Gawa,36.783,140.133,River
北海道,ほっかいどう,Hokkai Do,43.067,141.350,Municipality
北海岬,ほっかいみさき,Hokkai Misaki,41.133,140.767,Cape
鉾田市,ほこたし,Hokota Shi,36.167,140.517,Municipality
北栄町,ほくえいちょう,Hokuei Cho,35.483,133.767,Municipality
保倉川,ほくらがわ,Hokura Gawa,37.183,138.250,River
北竜町,ほくりゅうちょう,Hokuryu Cho,43.733,141.883,Municipality
北勢,ほくせい,Hokusei,35.150,136.517,Populated area
北辰海盆,ほくしんかいぼん,Hokushin Kaibon,17.250,135.200,Undersea feature
北斗海山,ほくとかいざん,Hokuto Kaizan,23.783,136.267,Undersea feature
北斗市,ほくとし,Hokuto Shi,41.817,140.650,Municipality
北杜市,ほくとし,Hokuto Shi,35.783,138.417,Municipality
帆前岬,ほまえみさき,Homae Misaki,43.450,145.867,Cape
本島,ほんじま,Hon Jima,34.383,133.767,Island
本山,ほんざん,Hon Zan,39.900,139.750,Mountain
本別町,ほんべつちょう,Honbetsu Cho,43.117,143.617,Municipality
本多平頂海山,ほんだへいちょうかいざん,Honda Heichokaizan,22.983,156.867,Undersea feature
本庄川,ほんじょうがわ,Honjo Gawa,31.967,131.367,River
本庄市,ほんじょうし,Honjo Shi,36.250,139.183,Municipality
本座海山,ほんざかいざん,Honza Kaizan,24.217,142.850,Undersea feature
鳳凰山,ほうおうざん,Hoo Zan,35.700,138.300,Mountain
蓬莱山,ほうらいさん,Horai San,35.217,135.883,Mountain
鳳来寺山,ほうらいじさん,Horaiji San,34.983,137.583,Mountain
堀株川,ほりかっぷがわ,Horikappu Gawa,43.017,140.533,River
ホロホロ山,ホロホロやま,Horohoro Yama,42.633,141.150,Mountain
幌加内町,ほろかないちょう,Horokanai Cho,44.017,142.150,Municipality
幌向川,ほろむいがわ,Horomui Gawa,43.117,141.617,River
幌内川,ほろないがわ,Horonai Gawa,44.667,142.883,River
幌延町,ほろのべちょう,Horonobe Cho,45.017,141.850,Municipality
星ヶ城山,ほしがじょうさん,Hoshigajo San,34.517,134.317,Mountain
細尾峠,ほそおとうげ,Hosoo Toge,36.717,139.517,Pass
細島,ほそしま,Hososhima,32.417,131.667,Populated area
保田,ほた,Hota,35.133,139.833,Populated area
穂高岳,ほたかだけ,Hotaka Dake,36.283,137.650,Mountain
武尊山,ほたかやま,Hotaka Yama,36.800,139.133,Mountain
ほとけのざ平頂海山,ほとけのざへいちょうかいざん,Hotokenoza Heichokaizan,25.050,148.583,Undersea feature
堀田海山,ほったかいざん,Hotta Kaizan,37.717,145.983,Undersea feature
防予諸島,ほうよしょとう,Hoyo Shoto,33.833,132.317,Extensive natural feature
甫与志岳,ほよしだけ,Hoyoshi Dake,31.267,130.983,Mountain
百里ヶ岳,ひゃくりがだけ,Hyakurigadake,35.400,135.817,Mountain
兵戸峠,ひょうどとうげ,Hyodo Toge,33.067,130.900,Pass
兵庫県,ひょうごけん,Hyogo Ken,34.683,135.183,Municipality
氷ノ山,ひょうのせん,Hyonosen ,35.350,134.517,Mountain
須賀ノ山,すがのせん,Suganosen,35.350,134.517,Mountain
日向海盆,ひゅうがかいぼん,Hyuga Kaibon,32.000,132.383,Undersea feature
日向灘,ひゅうがなだ,Hyuga Nada,32.183,131.683,Sea Area
日向市,ひゅうがし,Hyuga Shi,32.417,131.617,Municipality
伊島,いしま,I Shima,33.850,134.817,Island
井原市,いばらし,Ibara Shi,34.600,133.467,Municipality
茨城県,いばらきけん,Ibaraki Ken,36.350,140.450,Municipality
茨城町,いばらきまち,Ibaraki Machi,36.283,140.417,Municipality
茨木市,いばらきし,Ibaraki Shi,34.817,135.567,Municipality
揖斐川,いびがわ,Ibi Gawa,35.033,136.717,River
揖斐川町,いびがわちょう,Ibigawa Cho,35.483,136.567,Municipality
揖保川,いぼがわ,Ibo Gawa,34.767,134.583,River
伊吹島,いぶきじま,Ibuki Jima,34.133,133.533,Island
伊吹山地,いぶきさんち,Ibuki Sanchi,35.550,136.350,Extensive natural feature
伊吹山,いぶきやま,Ibuki Yama,35.417,136.400,Mountain
指宿市,いぶすきし,Ibusuki Shi,31.250,130.633,Municipality
市川,いちかわ,Ichi Kawa,34.783,134.683,River
市崎,いちさき,Ichi Saki,28.217,129.483,Cape
一菱内湖,いちびしないこ,Ichibishinai Ko,43.867,145.500,Lake
市房山,いちふさやま,Ichifusa Yama,32.317,131.100,Mountain
市原市,いちはらし,Ichihara Shi,35.500,140.117,Municipality
市貝町,いちかいまち,Ichikai Machi,36.550,140.100,Municipality
市川町,いちかわちょう,Ichikawa Cho,34.983,134.767,Municipality
市川市,いちかわし,Ichikawa Shi,35.717,139.933,Municipality
市川三郷町,いちかわみさとちょう,Ichikawamisato Cho,35.567,138.500,Municipality
いちき串木野市,いちきくしきのし,Ichikikushikino Shi,31.717,130.267,Municipality
一戸町,いちのへまち,Ichinohe Machi,40.217,141.300,Municipality
一ノ岩,いちのいわ,Ichinoiwa,27.750,142.117,Island
一ノ目潟,いちのめがた,Ichinome Gata,39.950,139.733,Lake
一宮町,いちのみやまち,Ichinomiya Machi,35.367,140.367,Municipality
一宮市,いちのみやし,Ichinomiya Shi,35.300,136.800,Municipality
一関市,いちのせきし,Ichinoseki Shi,38.933,141.133,Municipality
一葉海山,いちようかいざん,Ichiyo Kaizan,22.950,142.533,Undersea feature
井手町,いでちょう,Ide Cho,34.800,135.800,Municipality
イドンナップ岳,イドンナップだけ,Idonnappu Dake,42.633,142.650,Mountain
伊江島,いえしま,Ie Shima,26.733,127.800,Island
伊江村,いえそん,Ie Son,26.717,127.800,Municipality
家島諸島,いえしましょとう,Ieshima Shoto,34.633,134.550,Extensive natural feature
伊賀市,いがし,Iga Shi,34.750,136.150,Municipality
伊平屋島,いへやじま,Iheya Jima,27.050,127.983,Island
伊平屋村,いへやそん,Iheya Son,27.033,127.967,Municipality
飯田市,いいだし,Iida Shi,35.517,137.817,Municipality
飯豊町,いいでまち,Iide Machi,38.050,139.983,Municipality
飯豊山,いいでさん,Iide San,37.850,139.700,Mountain
飯士山,いいじさん,Iiji San,36.950,138.833,Mountain
飯島町,いいじままち,Iijima Machi,35.683,137.917,Municipality
飯森山,いいもりやま,Iimori Yama,37.817,139.933,Mountain
飯南町,いいなんちょう,Iinan Cho,35.000,132.717,Municipality
飯梨川,いいなしがわ,Iinashi Gawa,35.450,133.217,River
飯舘村,いいたてむら,Iitate Mura,37.683,140.733,Municipality
飯山市,いいやまし,Iiyama Shi,36.850,138.367,Municipality
飯坂,いいざか,Iizaka,37.833,140.450,Populated area
飯塚市,いいづかし,Iizuka Shi,33.650,130.683,Municipality
飯綱町,いいづなまち,Iizuna Machi,36.750,138.233,Municipality
飯縄山,いいづなやま,Iizuna Yama,36.733,138.133,Mountain
五十嵐川,いからしがわ,Ikarashi Gawa,37.633,138.950,River
斑鳩町,いかるがちょう,Ikaruga Cho,34.617,135.733,Municipality
伊方町,いかたちょう,Ikata Cho,33.483,132.350,Municipality
井川,いかわ,Ikawa,35.217,138.233,Populated area
井川町,いかわまち,Ikawa Machi,39.917,140.083,Municipality
池島,いけしま,Ike Shima,32.883,129.600,Island
池袋,いけぶくろ,Ikebukuro,35.733,139.717,Populated area
池田町,いけだちょう,Ikeda Cho,42.933,143.450,Municipality
池田町,いけだちょう,Ikeda Cho,35.883,136.350,Municipality
池田町,いけだちょう,Ikeda Cho,35.450,136.567,Municipality
池田湖,いけだこ,Ikeda Ko,31.233,130.567,Lake
池田町,いけだまち,Ikeda Machi,36.417,137.867,Municipality
池田市,いけだし,Ikeda Shi,34.817,135.433,Municipality
池木屋山,いけごややま,Ikegoya Yama,34.317,136.133,Mountain
池間島,いけまじま,Ikema Jima,24.933,125.250,Island
壱岐市,いきし,Iki Shi,33.750,129.683,Municipality
壱岐島,いきしま,Iki Shima,33.783,129.717,Island
壱岐水道,いきすいどう,Iki Suido,33.633,129.800,Sea Area
生月島,いきつきじま,Ikitsuki Jima,33.400,129.417,Island
一九海山,いっくかいざん,Ikku Kaizan,22.633,129.000,Undersea feature
生駒市,いこまし,Ikoma Shi,34.700,135.700,Municipality
生駒山,いこまやま,Ikoma Yama,34.683,135.683,Mountain
生口島,いくちじま,Ikuchi Jima,34.300,133.117,Island
生地鼻,いくぢはな,Ikuji Hana,36.900,137.417,Cape
生坂村,いくさかむら,Ikusaka Mura,36.433,137.933,Municipality
幾春別,いくしゅんべつ,Ikushunbetsu,43.267,141.950,Populated area
幾春別岳,いくしゅんべつだけ,Ikushunbetsu Dake,43.233,142.167,Mountain
今川,いまがわ,Ima Gawa,33.750,131.000,River
今治市,いまばりし,Imabari Shi,34.067,133.000,Municipality
今別町,いまべつまち,Imabetsu Machi,41.183,140.483,Municipality
今金町,いまかねちょう,Imakane Cho,42.433,140.017,Municipality
今ノ山,いまのやま,Imanoyama,32.850,132.850,Mountain
伊万里市,いまりし,Imari Shi,33.267,129.883,Municipality
射水市,いみずし,Imizu Shi,36.733,137.083,Municipality
妹島,いもうとじま,Imoto Jima,26.567,142.217,Island
伊南川,いながわ,Ina Gawa,37.350,139.317,River
伊奈町,いなまち,Ina Machi,36.000,139.617,Municipality
伊那市,いなし,Ina Shi,35.833,137.950,Municipality
いなべ市,いなべし,Inabe Shi,35.167,136.517,Municipality
猪名川町,いながわちょう,Inagawa Cho,34.900,135.383,Municipality
稲城市,いなぎし,Inagi Shi,35.633,139.500,Municipality
稲穂岬,いなほみさき,Inaho Misaki,42.250,139.550,Cape
田舎館村,いなかだてむら,Inakadate Mura,40.633,140.550,Municipality
稲美町,いなみちょう,Inami Cho,34.750,134.917,Municipality
印南町,いなみちょう,Inami Cho,33.817,135.217,Municipality
藺灘波島,いなんばとう,Inanba To,33.650,139.300,Island
稲庭岳,いなにわだけ,Inaniwa Dake,40.200,141.050,Mountain
稲敷市,いなしきし,Inashiki Shi,35.967,140.300,Municipality
猪苗代湖,いなわしろこ,Inawashiro Ko,37.467,140.100,Lake
猪苗代町,いなわしろまち,Inawashiro Machi,37.550,140.100,Municipality
稲沢市,いなざわし,Inazawa Shi,35.250,136.783,Municipality
印旛沼,いんばぬま,Inba Numa,35.750,140.183,Lake
伊根町,いねちょう,Ine Cho,35.683,135.267,Municipality
印賀,いんが,Inga,35.233,133.283,Populated area
いの町,いのちょう,Ino Cho,33.550,133.433,Municipality
井之川海山,いのかわかいざん,Inokawa Kaizan,27.017,133.433,Undersea feature
井の岬,いのみさき,Inomisaki,33.017,133.100,Cape
犬吠埼,いぬぼうさき,Inubo Saki,35.700,140.867,Cape
犬田布海山,いぬたぶかいざん,Inutabu Kaizan,26.950,130.333,Undersea feature
犬鷲断裂帯,いぬわしだんれつたい,Inuwashi Danretsutai,17.567,139.083,Undersea feature
犬山市,いぬやまし,Inuyama Shi,35.383,136.950,Municipality
印西市,いんざいし,Inzai Shi,35.833,140.150,Municipality
硫黄島,いおうじま,Io Jima,30.800,130.300,Island
硫黄海底谷,いおうかいていこく,Io Kaiteikoku,24.800,140.383,Undersea feature
硫黄島,いおうとう,Io To,24.783,141.317,Island
硫黄山,いおうざん,Io Zan,44.133,145.167,Mountain
医王山,いおうぜん,Io Zen,36.517,136.800,Mountain
伊王野,いおの,Iono,36.967,140.167,Populated area
硫黄鳥島,いおうとりしま,Iotori Shima,27.867,128.233,Island
伊良部島,いらぶじま,Irabu Jima,24.833,125.200,Island
伊良湖岬,いらごみさき,Irago Misaki,34.583,137.017,Cape
伊良湖水道,いらごすいどう,Irago Suido,34.533,136.967,Sea Area
西表島,いりおもてじま,Iriomote Jima,24.350,123.817,Island
入砂島,いりすなじま,Irisuna Jima,26.383,127.100,Island
西崎,いりざき,Irizaki,24.450,122.933,Cape
石廊海底谷,いろうかいていこく,Iro Kaiteikoku,34.267,138.733,Undersea feature
石廊崎,いろうざき,Iro Zaki,34.600,138.850,Cape
海豚鼻,いるかばな,Iruka Bana,33.700,129.717,Cape
入間川,いるまがわ,Iruma Gawa,35.917,139.550,River
入間市,いるまし,Iruma Shi,35.833,139.383,Municipality
伊佐市,いさし,Isa Shi,32.050,130.617,Municipality
諫早市,いさはやし,Isahaya Shi,32.850,130.050,Municipality
胆沢川,いさわがわ,Isawa Gawa,39.183,141.150,River
伊勢市,いせし,Ise Shi,34.483,136.717,Municipality
伊勢湾,いせわん,Ise Wan,34.767,136.733,Sea Area
伊勢原市,いせはらし,Isehara Shi,35.400,139.317,Municipality
伊仙町,いせんちょう,Isen Cho,27.667,128.933,Municipality
伊仙海穴,いせんかいけつ,Isen Kaiketsu,27.367,130.733,Undersea feature
伊仙海山,いせんかいざん,Isen Kaizan,27.250,130.417,Undersea feature
伊仙崎,いせんざき,Isen Zaki,27.667,128.933,Cape
伊勢崎市,いせさきし,Isesaki Shi,36.317,139.200,Municipality
石田,いしだ,Ishida,33.750,129.750,Populated area
石垣島,いしがきじま,Ishigaki Jima,24.417,124.200,Island
石垣市,いしがきし,Ishigaki Shi,24.333,124.150,Municipality
石井町,いしいちょう,Ishii Cho,34.067,134.433,Municipality
石狩岳,いしかりだけ,Ishikari Dake,43.550,143.017,Mountain
石狩川,いしかりがわ,Ishikari Gawa,43.267,141.367,River
石狩平野,いしかりへいや,Ishikari Heiya,43.150,141.417,Extensive natural feature
石狩山地,いしかりさんち,Ishikari Sanchi,43.483,142.917,Extensive natural feature
石狩市,いしかりし,Ishikari Shi,43.167,141.317,Municipality
石狩湾,いしかりわん,Ishikari Wan,43.250,141.217,Sea Area
石川県,いしかわけん,Ishikawa Ken,36.600,136.633,Municipality
石川町,いしかわまち,Ishikawa Machi,37.150,140.450,Municipality
石巻市,いしのまきし,Ishinomaki Shi,38.433,141.300,Municipality
石巻湾,いしのまきわん,Ishinomaki Wan,38.350,141.300,Sea Area
石岡市,いしおかし,Ishioka Shi,36.183,140.283,Municipality
石鎚山,いしづちさん,Ishizuchi San,33.767,133.117,Mountain
一切経山,いっさいきょうざん,Issaikyo Zan,37.733,140.250,Mountain
夷隅川,いすみがわ,Isumi Gawa,35.300,140.417,River
いすみ市,いすみし,Isumi Shi,35.250,140.383,Municipality
五十鈴川,いすずがわ,Isuzu Gawa,34.517,136.750,River
板橋区,いたばしく,Itabashi Ku,35.750,139.717,Municipality
潮来市,いたこし,Itako Shi,35.950,140.550,Municipality
板倉町,いたくらまち,Itakura Machi,36.233,139.600,Municipality
伊丹市,いたみし,Itami Shi,34.783,135.400,Municipality
板野町,いたのちょう,Itano Cho,34.150,134.467,Municipality
板柳町,いたやなぎまち,Itayanagi Machi,40.700,140.450,Municipality
以東岳,いとうだけ,Ito Dake,38.350,139.850,Mountain
伊東市,いとうし,Ito Shi,34.967,139.100,Municipality
糸田町,いとだまち,Itoda Machi,33.650,130.783,Municipality
糸魚川市,いといがわし,Itoigawa Shi,37.033,137.867,Municipality
糸満市,いとまんし,Itoman Shi,26.117,127.667,Municipality
糸島市,いとしまし,Itoshima Shi,33.550,130.200,Municipality
五木村,いつきむら,Itsuki Mura,32.400,130.833,Municipality
斎灘,いつきなだ,Itsuki Nada,34.050,132.767,Sea Area
厳島,いつくしま,Itsukushima ,34.267,132.300,Island
宮島,みやじま,Miya Jima,34.267,132.300,Island
岩部岳,いわべだけ,Iwabe Dake,41.533,140.317,Mountain
岩出市,いわでし,Iwade Shi,34.250,135.317,Municipality
磐井川,いわいがわ,Iwai Gawa,38.950,141.167,River
祝島,いわいしま,Iwai Shima,33.783,131.967,Island
岩泉町,いわいずみちょう,Iwaizumi Cho,39.850,141.800,Municipality
岩木川,いわきがわ,Iwaki Gawa,41.017,140.367,River
磐城海山,いわきかいざん,Iwaki Kaizan,36.883,144.867,Undersea feature
岩木山,いわきさん,Iwaki San,40.650,140.300,Mountain
いわき市,いわきし,Iwaki Shi,37.050,140.883,Municipality
岩国市,いわくにし,Iwakuni Shi,34.167,132.217,Municipality
岩倉市,いわくらし,Iwakura Shi,35.283,136.867,Municipality
岩美町,いわみちょう,Iwami Cho,35.583,134.333,Municipality
石見高原,いわみこうげん,Iwami Kogen,34.917,132.333,Extensive natural feature
岩見沢市,いわみざわし,Iwamizawa Shi,43.200,141.783,Municipality
岩村田,いわむらだ,Iwamurada,36.267,138.483,Populated area
岩内町,いわないちょう,Iwanai Cho,42.983,140.517,Municipality
岩沼市,いわぬまし,Iwanuma Shi,38.100,140.867,Municipality
イワオヌプリ,イワオヌプリ,Iwao Nupuri,42.883,140.633,Mountain
岩瀬,いわせ,Iwase,36.750,137.233,Populated area
岩菅山,いわすげやま,Iwasuge Yama,36.750,138.567,Mountain
磐田市,いわたし,Iwata Shi,34.717,137.850,Municipality
岩手県,いわてけん,Iwate Ken,39.700,141.150,Municipality
岩手町,いわてまち,Iwate Machi,39.967,141.217,Municipality
岩手山,いわてさん,Iwate San,39.850,141.000,Mountain
祖谷川,いやがわ,Iya Gawa,33.967,133.783,River
伊予灘,いよなだ,Iyo Nada,33.633,132.300,Sea Area
伊予市,いよし,Iyo Shi,33.750,132.700,Municipality
十六夜海山,いざよいかいざん,Izayoi Kaizan,22.400,136.867,Undersea feature
伊是名島,いぜなじま,Izena Jima,26.933,127.933,Island
伊是名村,いぜなそん,Izena Son,26.933,127.933,Municipality
伊豆半島,いずはんとう,Izu Hanto,34.833,138.917,Extensive natural feature
伊豆市,いずし,Izu Shi,34.983,138.950,Municipality
出島,いずしま,Izu Shima,38.450,141.517,Island
伊豆諸島,いずしょとう,Izu Shoto,34.000,139.700,Extensive natural feature
出水市,いずみし,Izumi Shi,32.083,130.350,Municipality
和泉市,いずみし,Izumi Shi,34.483,135.417,Municipality
泉大津市,いずみおおつし,Izumiotsu Shi,34.500,135.417,Municipality
泉佐野市,いずみさのし,Izumisano Shi,34.400,135.333,Municipality
泉崎村,いずみざきむら,Izumizaki Mura,37.150,140.300,Municipality
出雲市,いずもし,Izumo Shi,35.367,132.750,Municipality
出雲崎町,いずもざきまち,Izumozaki Machi,37.533,138.717,Municipality
伊豆の国市,いずのくにし,Izunokuni Shi,35.033,138.933,Municipality
伊豆・小笠原海溝,いず・おがさわらかいこう,Izu-Ogasawara Kaiko,31.200,142.267,Undersea feature
十国峠,じっこくとうげ,Jikkoku Toge,35.133,139.033,Pass
十石峠,じっこくとうげ,Jikkoku Toge,36.100,138.650,Pass
陣馬山,じんばさん,Jinba San,35.650,139.167,Mountain
甚吉森,じんきちもり,Jinkichi Mori,33.700,134.117,Mountain
神石高原町,じんせきこうげんちょう,Jinsekikogen Cho,34.700,133.250,Municipality
神通川,じんづうがわ,Jinzu Gawa,36.767,137.217,River
地芳峠,じよしとうげ,Jiyoshi Toge,33.467,132.933,Pass
地蔵岳,じぞうだけ,Jizo Dake,36.617,139.467,Mountain
地蔵埼,じぞうざき,Jizo Zaki,35.567,133.333,Cape
常磐,じょうばん,Joban,37.000,140.850,Populated area
常磐海山列,じょうばんかいざんれつ,Joban Kaizan Retsu,36.500,144.350,Undersea feature
上越市,じょうえつし,Joetsu Shi,37.150,138.233,Municipality
常願寺川,じょうがんじがわ,Joganji Gawa,36.750,137.300,River
城ヶ島,じょうがしま,Jogashima,35.133,139.617,Island
上下,じょうげ,Joge,34.700,133.117,Populated area
上弦海盆,じょうげんかいぼん,Jogen Kaibon,22.783,137.233,Undersea feature
城峯山,じょうみねさん,Jomine San,36.100,139.000,Mountain
常念岳,じょうねんだけ,Jonen Dake,36.333,137.733,Mountain
承応海山,じょうおうかいざん,Joo Kaizan,32.117,138.667,Undersea feature
常総市,じょうそうし,Joso Shi,36.017,140.000,Municipality
城陽市,じょうようし,Joyo Shi,34.850,135.783,Municipality
定山渓,じょうざんけい,Jozankei,42.967,141.167,Populated area
十五夜海嶺,じゅうごやかいれい,Jugoya Kairei,23.250,136.150,Undersea feature
準星海山,じゅんせいかいざん,Junsei Kaizan,25.350,136.000,Undersea feature
十三本木峠,じゅうさんぼんぎとうげ,Jusanbongi Toge,40.083,141.233,Pass
十三湖,じゅうさんこ,Jusanko,41.033,140.367,Lake
加波山,かばさん,Kaba San,36.300,140.150,Mountain
椛島,かばしま,Kaba Shima,32.767,128.983,Island
樺島,かばしま,Kaba Shima,32.567,129.783,Island
川平,かびら,Kabira,24.467,124.133,Populated area
嘉手納町,かでなちょう,Kadena Cho,26.367,127.750,Municipality
角山,かどやま,Kado Yama,32.400,130.100,Mountain
門川町,かどがわちょう,Kadogawa Cho,32.467,131.650,Municipality
門倉岬,かどくらみさき,Kadokura Misaki,30.350,130.883,Cape
門真市,かどまし,Kadoma Shi,34.733,135.583,Municipality
加賀市,かがし,Kaga Shi,36.300,136.317,Municipality
鏡石町,かがみいしまち,Kagamiishi Machi,37.250,140.350,Municipality
鏡野町,かがみのちょう,Kagamino Cho,35.100,133.933,Municipality
香川県,かがわけん,Kagawa Ken,34.333,134.050,Municipality
下弦海盆,かげんかいぼん,Kagen Kaibon,22.750,137.067,Undersea feature
篭坂峠,かごさかとうげ,Kagosaka Toge,35.400,138.867,Pass
鹿児島県,かごしまけん,Kagoshima Ken,31.567,130.550,Municipality
鹿児島市,かごしまし,Kagoshima Shi,31.600,130.550,Municipality
鹿児島湾,かごしまわん,Kagoshima Wan,31.383,130.667,Sea Area
かぐや姫海山,かぐやひめかいざん,Kaguyahime Kaizan,23.817,136.533,Undersea feature
河北町,かほくちょう,Kahoku Cho,38.433,140.317,Municipality
河北潟,かほくがた,Kahoku Gata,36.650,136.667,Lake
かほく市,かほくし,Kahoku Shi,36.717,136.700,Municipality
甲斐市,かいし,Kai Shi,35.667,138.517,Municipality
海部川,かいふがわ,Kaifu Gawa,33.600,134.367,River
貝殻島,かいがらじま,Kaigara Jima,43.400,145.867,Island
海形海山,かいかたかいざん,Kaikata Kaizan,26.683,140.933,Undersea feature
開聞岳,かいもんだけ,Kaimon Dake,31.183,130.533,Mountain
海南市,かいなんし,Kainan Shi,34.150,135.233,Municipality
海王星海山,かいおうせいかいざん,Kaiosei Kaizan,19.200,135.617,Undersea feature
開成町,かいせいまち,Kaisei Machi,35.333,139.117,Municipality
海田町,かいたちょう,Kaita Cho,34.367,132.533,Municipality
海徳海山群,かいとくかいざんぐん,Kaitoku Kaizangun,26.150,141.017,Undersea feature
海徳堆,かいとくたい,Kaitoku Tai,26.067,140.950,Undersea feature
海陽町,かいようちょう,Kaiyo Cho,33.600,134.350,Municipality
海洋海山,かいようかいざん,Kaiyo Kaizan,43.900,139.183,Undersea feature
海津市,かいづし,Kaizu Shi,35.217,136.633,Municipality
貝塚市,かいづかし,Kaizuka Shi,34.433,135.367,Municipality
加治川,かじかわ,Kaji Kawa,37.817,139.500,River
かじ星海山,かじぼしかいざん,Kajiboshi Kaizan,17.933,135.050,Undersea feature
各務原市,かかみがはらし,Kakamigahara Shi,35.400,136.850,Municipality
加唐島,かからしま,Kakara Shima,33.600,129.850,Island
掛川市,かけがわし,Kakegawa Shi,34.767,138.000,Municipality
梯川,かけはしがわ,Kakehashi Gawa,36.417,136.417,River
加計呂麻島,かけろまじま,Kakeroma Jima,28.117,129.250,Island
加計呂麻海山,かけろまかいざん,Kakeroma Kaizan,27.767,131.300,Undersea feature
加計呂麻海山列,かけろまかいざんれつ,Kakeroma Kaizan Retsu,27.667,132.150,Undersea feature
加古川,かこがわ,Kako Gawa,34.733,134.800,River
加古川市,かこがわし,Kakogawa Shi,34.750,134.833,Municipality
角田市,かくだし,Kakuda Shi,37.983,140.783,Municipality
鹿久居島,かくいしま,Kakui Shima,34.717,134.317,Island
嘉麻市,かまし,Kama Shi,33.600,130.717,Municipality
